rank	kind	score	domain	title	region	protocol	freshness	auth	reuse_pattern	score_src	path
233	new	13	air-quality	NSW EPA Air Quality (Australia)	Australia (New South Wales)	REST	Hourly	Unknown (likely API key via registration)	OpenAQ (air quality)	total	tools/candidates/air-quality/nsw-epa-australia.md
234	new	13	air-quality	South Korea AirKorea	South Korea	REST	Hourly	API Key (free registration at data.go.kr)	OpenAQ (air quality)	total	tools/candidates/air-quality/south-korea-airkorea.md
235	new	13	air-quality	Swiss NABEL (National Air Pollution Monitoring Network)	Switzerland	REST (geo.admin.ch), WMS/WMTS (map services)	Hourly (measurements); station metadata is static	None	OpenAQ (air quality)	total	tools/candidates/air-quality/swiss-nabel.md
236	new	13	air-quality	WAQI / AQICN — African Air Quality Stations	Pan-African (stations in South Africa, Kenya, Nigeria, Egypt, Morocco, Ghana, Uganda, Ethiopia, Rwanda, Senegal, Tunisia)	REST	Real-time (hourly updates)	API token (free registration)	OpenAQ (air quality)	explicit	tools/candidates/air-quality/waqi-africa-stations.md
237	new	13	coral-marine	Allen Coral Atlas	Global (all tropical/subtropical coral reef regions)	Web portal, Google Cloud Storage (GCS) for data tiles	Periodic (satellite imagery reprocessing campaigns)	None for web portal; GCS access may require account	ArcGIS FeatureServer (poller)	total	tools/candidates/coral-marine/allen-coral-atlas.md
238	new	13	disaster-alerts	GDACS Global Disasters (Qatar Region)	Global (Qatar-relevant subset)	RSS / XML	Multiple updates per day (sub-hourly for major events)	None	GeoJSON REST (poller)	explicit	tools/candidates/disaster-alerts/qa-gdacs-disasters.md
239	new	13	hydrology	GloFAS — Global Flood Awareness System (Africa)	Pan-African	REST (Copernicus Climate Data Store API)	Daily forecasts (updated every 24 hours)	CDS API key (free registration)	GeoJSON REST (poller)	explicit	tools/candidates/hydrology/glofas-africa-flood-forecast.md
240	new	13	maritime-ais	AISHub	Global (community-operated, servers in multiple countries)	REST	Near-real-time (polled, max 1 request/minute)	Membership (must contribute your own AIS feed to receive aggregated data)	GeoJSON REST (poller)	total	tools/candidates/maritime-ais/aishub.md
241	new	13	maritime-ais	EMODnet Human Activities — Vessel Density & Port Traffic	European seas (Atlantic, Baltic, Mediterranean, Black Sea, Arctic)	OGC WMS 1.3.0 / WFS 2.0.0	Aggregated data — yearly or seasonal updates (not real-time AIS)	None (fully open, no registration required)	GeoJSON REST (poller)	total	tools/candidates/maritime-ais/emodnet-human-activities.md
242	new	13	oceans	AVISO+ Satellite Altimetry Data Center (CNES)	Global oceans	FTP, HTTPS, OpenDAP (THREDDS), Copernicus Marine Service API	Near-real-time (~3-6 hours for NRT products), delayed-mode (~15-30 days for reprocessed)	User registration required (free)	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/oceans/spaceother-cnes-aviso-altimetry.md
243	new	13	parking	Cologne Parking (Stadt Köln)	Germany — Cologne (Köln)	REST (ArcGIS-compatible JSON)	Real-time (parking guidance system updates)	None	ArcGIS FeatureServer (poller)	total	tools/candidates/parking/cologne-parking.md
244	new	13	radiation	Ireland EPA Radiation Monitoring GeoServer	Ireland	OGC WFS 1.0.0 / WMS	Current network status is visible; raw numeric dose values were not fully verified in this pass	None	GeoJSON REST (poller)	total	tools/candidates/radiation/ireland-epa-radiation.md
245	new	13	radiation	RIVM Netherlands — National Radioactivity Monitoring Network	Netherlands	OGC WFS 2.0.0	Annual averages (dataset last updated 2025-01-24)	None	GeoJSON REST (poller)	total	tools/candidates/radiation/rivm-netherlands.md
246	new	13	seismology	Nepal BIPAD Portal — Earthquake Catalog & Seismic Monitoring	Nepal	REST (JSON with GeoJSON geometry)	Historical catalog; new events added as reported by NSC (National Seismological Centre)	None (anonymous access)	GeoJSON REST (poller)	total	tools/candidates/seismology/nepal-bipad-seismology.md
247	new	13	tidal-sea-level	SHOM REFMAR (Réseau de Référence des Observations Marégraphiques)	France (metropolitan + overseas territories)	OGC WFS / WMS; direct download	Real-time (minutes-level from operational tide gauges)	Free account on data.shom.fr for downloads	GeoJSON REST (poller)	total	tools/candidates/tidal-sea-level/shom-refmar.md
248	new	13	volcanic	Vedur.is — Iceland Met Office Volcanic & Seismic Monitoring				None for the website.	FDSN/QuakeML (seismology)	total	tools/candidates/volcanic/vedur-iceland.md
249	new	13	weather	CAP Alerts Feed — African Weather Warnings	Pan-African (countries with WMO-registered CAP alert feeds)	ArcGIS REST API / CAP (Common Alerting Protocol) XML	Real-time (alerts issued as conditions warrant)	None	CAP alerts	explicit	tools/candidates/weather/cap-alerts-africa.md
250	new	13	weather	NWS Marine Weather Forecasts — Puget Sound Zones	US — Puget Sound / Pacific Northwest	HTTP (text files) / REST (metadata)	Updated every 6 hours (4x daily), with amendments as conditions warrant	None (User-Agent header recommended for api.weather.gov)	CAP alerts	explicit	tools/candidates/weather/nws-marine-forecast-puget-sound.md
251	new	13	wikimedia-osm	OSMCha (OpenStreetMap Changeset Analyzer)	Global	REST	Near-real-time (changesets appear within minutes)	OAuth2 (OpenStreetMap login) — required for API access	GeoJSON REST (poller)	total	tools/candidates/wikimedia-osm/osmcha.md
252	new	13	wildfire	ESA EFFIS Active Fire Detection (VIIRS/MODIS)	Europe, Middle East, North Africa (EMENA)	OGC WFS 1.1.0 (GeoJSON output)	Daily (MODIS Terra/Aqua 4× daily, VIIRS S-NPP/NOAA-20 twice daily)	None	GeoJSON REST (poller)	explicit	tools/candidates/wildfire/esa-effis-active-fires.md
253	new	13	air-quality	Copernicus Atmosphere Monitoring Service (CAMS)	Global / European	REST (CDS API)	Daily forecasts; 6-hourly analysis; monthly reanalysis	Personal Access Token (free registration required)		total	tools/candidates/air-quality/copernicus-cams.md
254	new	13	air-quality	Sentinel-5P TROPOMI (Satellite Atmospheric Composition)	Global	OData REST API / OpenSearch	Daily (14 orbits/day, ~daily global coverage)	Free registration required (Copernicus Data Space account)		total	tools/candidates/air-quality/sentinel-5p-tropomi.md
255	new	13	aviation	Qatar Terminal Area Forecast (TAF)	Qatar	REST / JSON	Issued every 6 hours (00, 06, 12, 18 UTC), valid for 24-30 hours	None		explicit	tools/candidates/aviation/qa-taf-forecast.md
256	new	13	border-crossings	Canada CBSA Border Wait Times	Canada (29 busiest land border crossings)	HTML (web page, updated hourly)	At least hourly (per CBSA service standards)	None		total	tools/candidates/border-crossings/cbsa-wait-times.md
257	new	13	citizen-sensors	CWOP/MADIS (Citizen Weather Observer Program)	Global (strongest in North America)	APRS-IS (TCP/text stream) for CWOP; HTTP/FTP for MADIS	5-15 minutes (per station); MADIS hourly aggregation	MADIS requires free account; CWOP/APRS-IS read access with passcode -1		total	tools/candidates/citizen-sensors/cwop-madis.md
258	new	13	citizen-sensors	Netatmo Weathermap	Global (densest in Europe)	REST (JSON)	~5-10 minutes (station reporting interval)	OAuth2 (free developer account required)		total	tools/candidates/citizen-sensors/netatmo-weathermap.md
259	new	13	citizen-sensors	Safecast	Global (strongest in Japan, North America)	REST	Varies (crowd-sourced; data arrives as volunteers submit)	None (read access); API key for write		total	tools/candidates/citizen-sensors/safecast.md
260	new	13	cycling	Seattle SDOT Bicycle Counters	US — Seattle, WA	REST (Socrata SODA API)	Hourly updates	None (app token optional)		explicit	tools/candidates/cycling/seattle-bike-counters.md
261	new	13	energy	Electricity Maps — African Zones	Pan-African (South Africa, Morocco, Egypt, Tunisia, Libya, Nigeria, Ghana, Kenya, Ethiopia, Tanzania, Senegal, Côte d'Ivoire, and 30+ more)	REST	Real-time to hourly (varies by zone data availability)	API key (free tier for non-commercial use)		explicit	tools/candidates/energy/electricity-maps-africa.md
262	new	13	energy	Nord Pool — European Power Exchange	Nordic, Baltic, and expanding European coverage	REST (legacy), FTP/SFTP (data feeds), web portal	Hourly (day-ahead), continuous (intraday)	Commercial API requires subscription; web portal data is public		total	tools/candidates/energy/nord-pool.md
263	new	13	energy	OCCTO — Organization for Cross-regional Coordination of Transmission Operators (Japan)	Japan	Web portal with file downloads	Hourly (demand), daily (supply plan)	None for public data (some datasets require registration)		total	tools/candidates/energy/occto-japan.md
264	new	13	energy	Transpower — New Zealand Electricity System Operator	New Zealand	REST / WebSocket (dashboard backends)	5 minutes (generation), real-time (frequency)	None for public dashboards		total	tools/candidates/energy/transpower-nz.md
265	new	13	energy	XM — Operador del Sistema y Administrador del Mercado (Colombia)	Colombia	REST (Power BI-backed)	Hourly (generation/demand), daily (prices)	None for public portal data		total	tools/candidates/energy/xm-colombia.md
266	new	13	ev-charging	supercharge.info — Tesla Supercharger Database	Global (all Tesla Supercharger locations worldwide)	REST	Community-maintained, updated as sites open/change	None (public endpoint)		total	tools/candidates/ev-charging/supercharge-info.md
267	new	13	ev-charging	UAE EV Charging Networks (DEWA Green Charger, Open Charge Map)	United Arab Emirates (primarily Dubai and Abu Dhabi)	REST API (JSON)	Near-real-time (charger status updates when state changes: available → in use → faulted)	- DEWA: Unknown		explicit	tools/candidates/ev-charging/ae-uae-ev-charging.md
268	new	13	food-security	FEWS NET IPC Food Security Classifications	Sub-Saharan Africa (20+ countries)	REST	Quarterly (IPC analysis cycles)	None		explicit	tools/candidates/food-security/fewsnet-ipc-classification.md
269	new	13	geomagnetic	ESA Swarm Geomagnetic Field (VirES API)	Global	REST API + Python client (viresclient)	Near-real-time (FAST products ~3 hours latency), operational products ~2–3 days	Free VirES account (email registration)		explicit	tools/candidates/geomagnetic/esa-swarm-vires.md
270	new	13	health-disease	disease.sh — African Disease Surveillance Data	Pan-African (all 54 African countries)	REST	Daily updates	None		explicit	tools/candidates/health-disease/disease-sh-africa.md
271	new	13	lightning	DWD Lightning Data (Deutscher Wetterdienst)	Germany / Central Europe	File download (HTTP)	Sub-hourly (files published in ~10-minute intervals)	None		total	tools/candidates/lightning/dwd-lightning.md
272	new	13	lightning	Earth Networks Total Lightning Network (ENTLN)	Global	REST over HTTPS (Azure API Management)	Near real-time (Sferic Data Stream is push/streaming)	Subscription key required (Ocp-Apim-Subscription-Key header) — commercial license		total	tools/candidates/lightning/earth-networks-entln.md
273	new	13	maritime-ais	MyShipTracking API	Global (terrestrial AIS coverage, Greece-based)	REST	Real-time (terrestrial AIS)	API Key + Secret Key (free trial account, paid plans)		total	tools/candidates/maritime-ais/myshiptracking.md
274	new	13	noise	Bruitparif RUMEUR Network (Paris/Île-de-France)	Île-de-France region, France (Paris and surrounds)	Web SPA (Leaflet map, no public REST API discovered)	Real-time (continuous monitoring network)	None for web portal		total	tools/candidates/noise/bruitparif.md
275	new	13	oceans	EUMETSAT OSI SAF Sea Surface Temperature (SST)	Global oceans	FTP, REST API (Data Store), NetCDF/GRIB download	Hourly (gridded L3 composites), 6-hourly (foundation SST)	FTP anonymous, Data Store requires free EUMETSAT registration		explicit	tools/candidates/oceans/eumetsat-osi-saf-sst.md
276	new	13	oceans	JAXA Himawari-9 L2 Sea Surface Temperature (AWS Mirror)	Japan / Asia-Pacific (Himawari full disk coverage)	HTTP (S3 REST), no auth	10 minutes	None		explicit	tools/candidates/oceans/jaxa-himawari-sst.md
277	new	13	radiation	Health Canada Fixed Point Surveillance (FPS) Network	Canada	CKAN REST API + CSV file download	Quarterly (P3M) — monthly dose values published per quarter	None		total	tools/candidates/radiation/health-canada-fps.md
278	new	13	radiation	Japan NRA Radiation Monitoring (RAMDAS)	Japan	Web portal with data downloads (no confirmed public REST API)	Near-real-time (10-minute monitoring post data)	None (public portal)		total	tools/candidates/radiation/japan-nra.md
279	new	13	radiation	Safecast	Global (strongest coverage in Japan, USA, Europe)	REST (Ruby on Rails)	Continuous (citizen-contributed, varies by device and user activity)	None for read access; API key for writes		total	tools/candidates/radiation/safecast.md
280	new	13	radio-propagation	HamQSL Solar/Propagation Indices	Global	REST (XML)	~15-30 minutes (aggregates from NOAA SWPC and other sources)	None		total	tools/candidates/radio-propagation/hamqsl-solar-indices.md
281	new	13	reservoir-dam	Brazil ANA — Sistema de Acompanhamento de Reservatórios (SAR)	Brazil	Web portal; possible REST API	Daily (operational reservoir monitoring)	Unknown (likely none for public data)		total	tools/candidates/reservoir-dam/brazil-ana-sar.md
282	new	13	reservoir-dam	Japan MLIT — Dam and Reservoir Monitoring (river.go.jp)	Japan (~550 major dams monitored)	Web portal; internal telemetry system; limited public API	Real-time (10-minute intervals for dam operations)	None for public web access		total	tools/candidates/reservoir-dam/japan-mlit-dams.md
283	new	13	space-orbital	ESA DISCOSweb (Database and Information System Characterising Objects in Space)	Europe / Global	REST (JSON:API specification)	Regularly updated (catalog maintenance schedule)	Token-based (free registration at https://discos.esa.int)		total	tools/candidates/space-orbital/esa-discos.md
284	new	13	space-weather	NOAA SWPC OVATION Aurora 30-Minute Forecast	USA / Global (aurora oval regions)	REST (JSON)	30-minute forecast updated every few minutes	None		explicit	tools/candidates/space-weather/noaasat-ovation-aurora.md
285	new	13	tidal-sea-level	BOM Pacific Sea Level and Geodetic Monitoring (PSLM)	Pacific Islands (14 Pacific Island countries)	HTTP file download (CSV)	Monthly (similar to ABSLMP)	None		total	tools/candidates/tidal-sea-level/bom-pacific-sealevel.md
286	new	13	tidal-sea-level	JMA Tidal Observation Data (Japan Meteorological Agency)	Japan	Web application with JSON data feeds (internal API); file downloads	Real-time (minutes-level observations)	None		total	tools/candidates/tidal-sea-level/jma-tidal.md
287	new	13	tidal-sea-level	PSMSL — Permanent Service for Mean Sea Level	Global (~1,500 stations in ~70 countries)	HTTP file downloads (ASCII/CSV)	Varies — annual updates for most stations; some updated more frequently	None		total	tools/candidates/tidal-sea-level/psmsl.md
288	new	13	weather	EUMETSAT NWC SAF Cloud and Precipitation Nowcasting Products	Europe, Africa, Atlantic (MSG disk), Global (polar swaths)	File-based (NetCDF, HDF5), WMS visualization, EUMETCast broadcast	15 minutes (MSG products), 3-hourly (polar products)	Free for research/NMS use (registration required)		explicit	tools/candidates/weather/eumetsat-nwc-saf-nowcasting.md
289	new	13	weather	NASA GPM IMERG (Global Precipitation Measurement - Integrated Multi-satellitE Retrievals)	Global	HTTPS file download (HDF5, NetCDF), OPeNDAP	4-hour latency (IMERG Early Run), 14-hour (Late Run), ~4 months (Final Run)	Earthdata Login (free registration)		explicit	tools/candidates/weather/nasa-gpm-imerg.md
290	new	13	weather	OGIMET — Global Synoptic Data Aggregator	Global	CGI (HTTP GET, plain text response)	Near-real-time (follows WMO synoptic schedule)	None (open access)		total	tools/candidates/weather/ogimet.md
291	new	13	weather	Thailand TMD — Thai Meteorological Department	Thailand	REST (JSON) — API Key required	Observations every 3 hours; forecasts updated daily	API Key (free registration at data.tmd.go.th)		total	tools/candidates/weather/thailand-tmd.md
292	new	13	wikimedia-osm	OpenAddresses	Global	REST (JSON)	Batch processing — sources are re-crawled periodically (days to weeks)	None		total	tools/candidates/wikimedia-osm/openaddresses.md
293	new	13	wildfire	EFFIS Fire Weather Index (FWI) Forecast	Europe, global (GWIS)	WMS (PNG tiles), WCS (raster data)	Daily (1-day forecast from ECMWF)	None		explicit	tools/candidates/wildfire/esa-effis-fwi-forecast.md
294	new	12	agriculture	FAO Desert Locust Information Service (DLIS)	Sahel, Horn of Africa, North Africa, Arabian Peninsula (locust breeding/invasion zones)	ArcGIS REST API / Hub API	Updated as reports come in (daily during outbreaks)	None	ArcGIS FeatureServer (poller)	explicit	tools/candidates/agriculture/fao-desert-locust-dlis.md
295	new	12	air-quality	Copernicus Atmosphere Monitoring Service (CAMS) Global Air Quality Forecast	Global	CDS API (HTTP REST + Python client)	Twice daily (00Z, 12Z runs), 5-day forecast, hourly time steps	Free API key (ADS account required)	OpenAQ (air quality)	explicit	tools/candidates/air-quality/esa-cams-global-forecast.md
296	new	12	disaster-alerts	AlertaRio — Rio de Janeiro Flood/Weather Monitoring	Brazil (Rio de Janeiro municipality)	REST / WebSocket (known to exist)	Real-time (rain gauges every 15 minutes)	Unknown	GeoJSON REST (poller)	total	tools/candidates/disaster-alerts/alertario-rio.md
297	new	12	tidal-sea-level	BOM Australian Baseline Sea Level Monitoring Project (ABSLMP)	Australia (14 standard monitoring stations around the coast)	HTTP file download (CSV)	Monthly (data files updated on a monthly basis)	None for ABSLMP data; some BOM tide services require registration	KiWIS/KISTERS (hydrology)	total	tools/candidates/tidal-sea-level/bom-sea-level.md
298	new	12	volcanic	Smithsonian GVP (Global Volcanism Program)	Global	Web portal / downloadable datasets	Weekly (Weekly Volcanic Activity Report), periodic (database updates)	None	GeoJSON REST (poller)	total	tools/candidates/volcanic/smithsonian-gvp.md
299	new	12	water-quality	German State Environment Agencies — Water Quality Monitoring (LANUV, LfU, etc.)	Germany (federated — each state operates independently)	Web portals; some provide WMS/WFS OGC services	Mix of real-time continuous monitoring and periodic discrete sampling	Generally none for public data	KiWIS/KISTERS (hydrology)	total	tools/candidates/water-quality/german-state-agencies.md
300	new	12	water-quality	King County Swim Beach Water Quality	US — King County, WA (Puget Sound area)	REST (Socrata SODA API)	Weekly during swim season (May–September), updated within days of sampling	None (app token optional)	ArcGIS FeatureServer (poller)	explicit	tools/candidates/water-quality/king-county-swim-beach-bacteria.md
301	new	12	weather	CHIRPS — African Rainfall Estimates	Pan-African (global, but Africa is primary focus)	HTTP (file download)	Dekadal (10-day) preliminary, monthly final	None	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/weather/chirps-africa-rainfall.md
302	new	12	agriculture	Copernicus Africa NDVI / Vegetation Health	Pan-African	HTTP (file download) / WMS	Dekadal (10-day composites)	Free registration for Copernicus Data Store		explicit	tools/candidates/agriculture/copernicus-africa-ndvi.md
303	new	12	air-quality	Ambee Pollen API	Global (including Seattle / Puget Sound / Pacific Northwest)	REST	Daily forecasts with hourly updates	API Key (free tier available)		explicit	tools/candidates/air-quality/ambee-pollen-api.md
304	new	12	air-quality	Copernicus CAMS European Air Quality Forecast	Europe	CDS API	Twice daily (00Z, 12Z), 4-day forecast	Free ADS account		explicit	tools/candidates/air-quality/esa-cams-europe-aq.md
305	new	12	air-quality	EUMETSAT AC SAF Total Column Ozone and Trace Gases	Global (polar-orbiter coverage)	FTP, HTTP file download, NetCDF/HDF5	Near-real-time (~3 hours from observation), daily composites	Free registration for data access		explicit	tools/candidates/air-quality/eumetsat-ac-saf-ozone-trace-gases.md
306	new	12	aviation	ADSBHub Community ADS-B Feed	Global (community receiver network)	TCP streaming (SBS/BaseStation format, port 30003 compatible)	Real-time (continuous stream)	IP whitelist (must contribute an ADS-B station to receive data)		total	tools/candidates/aviation/adsbhub.md
307	new	12	border-crossings	Eurotunnel / Channel Tunnel Live Travel Info	UK / France (Folkestone–Calais)	Web SPA (JavaScript-rendered)	Near real-time (departure times, delays, wait times)	None for public portal		total	tools/candidates/border-crossings/eurotunnel.md
308	new	12	energy	CENACE — Centro Nacional de Control de Energía (Mexico)	Mexico	Web portal with file downloads	Hourly (generation), daily (prices), real-time (portal display)	None for public data		total	tools/candidates/energy/cenace-mexico.md
309	new	12	energy	EPEX SPOT — European Power Exchange	Central Western Europe and expanding	FTP/SFTP (data feeds), web portal	Hourly (day-ahead), 15-minute (intraday), continuous	Commercial subscription required		total	tools/candidates/energy/epex-spot.md
310	new	12	energy	Eskom Load Shedding API (South Africa)	South Africa	REST	Real-time (event-driven)	None		total	tools/candidates/energy/eskom-loadshedding.md
311	new	12	energy	REE e·sios (Spain)	Spain (peninsular, Balearic Islands, Canary Islands)	REST	10 minutes (real-time demand), hourly (generation mix)	None (open access)		total	tools/candidates/energy/ree-esios.md
312	new	12	ev-charging	ChargePlace Scotland	United Kingdom — Scotland	REST (based on Open Charge Map compatible API)	Near real-time (network-connected chargers report status)	API Key (registration required)		total	tools/candidates/ev-charging/chargeplace-scotland.md
313	new	12	ev-charging	OpenStreetMap — EV Charging Data via Overpass API	Global	Overpass QL / REST	Continuous community edits (minutes-level for popular areas)	None		total	tools/candidates/ev-charging/openstreetmap-charging.md
314	new	12	hydrology	Brazil ANA SNIRH — Hydrotelemetry Expanded	Brazil (national)	REST (suspected; requires endpoint discovery)	Near-real-time (hydrotelemetry)	Unknown		total	tools/candidates/hydrology/brazil-ana-snirh-expanded.md
315	new	12	hydrology	NASA SMAP (Soil Moisture Active Passive) NRT	Global (land areas, 60°N–60°S for radar, global for radiometer)	HTTPS file download (HDF5, NetCDF, GeoTIFF)	24–48 hours from satellite overpass	Earthdata Login (free registration)		explicit	tools/candidates/hydrology/nasa-smap-soil-moisture.md
316	new	12	imagery	ESA Sentinel-2 Near-Real-Time Imagery	Global	OData / STAC API	2–6 hours latency (NRT publications)	OAuth (free CDSE account)		explicit	tools/candidates/imagery/esa-sentinel2-nrt.md
317	new	12	maritime-ais	African Maritime AIS via AISHub/MarineTraffic	Pan-African coastal waters	REST / Raw TCP (AIS NMEA)	Real-time (vessel position reports every 2–30 seconds)	API key (AISHub community) / Subscription (MarineTraffic)		explicit	tools/candidates/maritime-ais/africa-ais-coastal.md
318	new	12	maritime-ais	aprs.fi AIS Data API	Global (Finland-based service, worldwide AIS coverage)	REST	Near-real-time (seconds-level for tracked vessels)	API Key (free account registration at aprs.fi)		total	tools/candidates/maritime-ais/aprs-fi-ais.md
319	new	12	maritime-ais	Datalastic Maritime API	Global (HQ: Germany, servers in Munich)	REST	Real-time AIS	API Key (paid subscription, free tier available)		total	tools/candidates/maritime-ais/datalastic.md
320	new	12	noise	Schiphol Airport Noise Monitoring (NOMOS)	Netherlands (Amsterdam Schiphol Airport)	Web / RSS / Data downloads	Near real-time (continuous noise monitoring, flight-correlated)	None (public portal)		total	tools/candidates/noise/schiphol-noise.md
321	new	12	power-outages	UK Power Networks	United Kingdom (South East England, East England, London)	Web / JSON (internal API behind portal)	Near real-time (outages reported as they occur)	None (public portal)		total	tools/candidates/power-outages/uk-power-networks.md
322	new	12	radiation	Finland STUK External Dose Rate Monitoring	Finland	Web portal / EURDEP contribution	Continuous (10-minute measurement cycle)	None (public portal)		total	tools/candidates/radiation/stuk-finland.md
323	new	12	radiation	France IRSN / RNM (Réseau National de Mesures de la Radioactivité)	France	Web portal (SPA); data shared via EURDEP	Continuous monitoring; portal updated regularly	None (public portal)		total	tools/candidates/radiation/irsn-rnm-france.md
324	new	12	radio-propagation	DXHeat	Global	HTTP (HTML/JSON), WebSocket	Real-time (continuous DX spot aggregation)	None (web), Callsign (DX cluster connection)		total	tools/candidates/radio-propagation/dxheat.md
325	new	12	snow-avalanche	Avalanche Canada	Canada (British Columbia, Alberta, Yukon, national parks)	Web portal (CMS-based)	Daily during winter season	None for public forecasts		total	tools/candidates/snow-avalanche/avalanche-canada.md
326	new	12	snow-avalanche	Avalanche.org (US National Avalanche Center)	United States	REST	Daily (during winter season, per avalanche center)	None		total	tools/candidates/snow-avalanche/avalanche-org.md
327	new	12	snow-avalanche	SAIS (Scottish Avalanche Information Service)	Scotland (Scottish Highlands)	REST (planned, not yet deployed)	Daily during winter season (December–April)	Unknown		total	tools/candidates/snow-avalanche/sais-scotland.md
328	new	12	tidal-sea-level	BODC UK National Tide Gauge Network	United Kingdom (England, Scotland, Wales, Northern Ireland)	HTTP file download (raw + processed data files)	Raw data: near real-time (continuous feed); Processed data: monthly (4-week delay)	Free BODC registration required for raw data downloads		total	tools/candidates/tidal-sea-level/bodc-uk-tide-gauges.md
329	new	12	water-quality	New Zealand LAWA — Land, Air, Water Aotearoa	New Zealand (national coverage via 16 regional councils)	Web portal with interactive data explorer; no documented public REST API	Varies — annual reporting for water quality indicators; some near-real-time river data	None		total	tools/candidates/water-quality/nz-lawa.md
330	new	12	weather	Brazil INMET Open Data	Brazil	REST API	Hourly (automatic stations), 3-hourly (conventional stations)	API Token (free registration at portal.inmet.gov.br)		total	tools/candidates/weather/inmet-brazil.md
331	new	12	weather	Netatmo Weather API — Citizen Weather Station Network	Global (strongest coverage in Western Europe)	REST API (OAuth 2.0)	5–10 minutes (station reports)	OAuth 2.0 (requires app registration + user consent flow)		total	tools/candidates/weather/netatmo.md
332	new	12	weather	TAHMO — Trans-African Hydro-Meteorological Observatory	Pan-African (20+ countries, 600+ stations)	REST	Near real-time (5-minute intervals)	API key (academic/research registration)		explicit	tools/candidates/weather/tahmo-africa-weather.md
333	new	12	weather	Turkey MGM (Turkish State Meteorological Service) — Weather Observations	Turkey	REST (JSON)	Hourly to 3-hourly observations; sub-hourly for select stations	API Key (free registration at servis.mgm.gov.tr)		total	tools/candidates/weather/turkey-mgm.md
334	new	12	wildfire	CWFIS (Canadian Wildland Fire Information System)	Canada	File download (CSV, SHP) / WMS	Daily during fire season (April–October)	None		total	tools/candidates/wildfire/cwfis-canada.md
335	new	12	wildfire	Planet NICFI Tropical Forest Monitoring Program	Global tropics (lat ±30°)	Planet Basemaps API (RESTful JSON)	Monthly mosaics (published ~2-4 weeks after month-end)	API key (free via NICFI program for eligible users)		explicit	tools/candidates/wildfire/spaceother-planet-nicfi.md
336	new	11	air-quality	Mexico SINAICA (Sistema Nacional de Información de la Calidad del Aire)	Mexico	Web application (internal JSON API)	Hourly	None for web; internal API endpoints may require specific URL patterns	OpenAQ (air quality)	total	tools/candidates/air-quality/mexico-sinaica.md
337	new	11	air-quality	sensors.AFRICA — Pan-African Citizen Science Air Quality Network	Pan-African (Nigeria, Kenya, Ghana, Tanzania, Zambia)	REST (Django REST framework)	Real-time — sensors report every ~3 minutes; /v2/nodes/list-nodes/ includes last-5-minute stats	None for key endpoints (/v2/cities/, /v2/nodes/list-nodes/, /v2/locations/); auth required for /v2/now/, /v2/data/, /v2/sensor-types/	OpenAQ (air quality)	explicit	tools/candidates/air-quality/sensors-africa.md
338	new	11	geomagnetic	WDC for Geomagnetism (Kyoto & Edinburgh)	Global	HTTP (file download, web forms) / HAPI (via INTERMAGNET BGS)	Indices: hourly to monthly; Observatory data: varies	None (most data); contact required for quicklook data use	GeoJSON REST (poller)	total	tools/candidates/geomagnetic/wdc-geomagnetism.md
339	new	11	ice	EUMETSAT OSI SAF Sea Ice Products	Global (polar regions — Arctic and Antarctic)	FTP, THREDDS, REST (planned), NetCDF file download	Daily (sea ice concentration, edge), 2x daily (drift), hourly (some products)	None (open CC-BY-4.0 license)	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/ice/eumetsat-osi-saf-sea-ice.md
340	new	11	maritime-ais	HELCOM Shipping Data — Baltic Sea AIS-Derived Intelligence	Baltic Sea (9 littoral states)	ArcGIS REST / OGC WMS / WFS	Annual/periodic updates (AIS-derived aggregate data)	None (open access for most data)	ArcGIS FeatureServer (poller)	total	tools/candidates/maritime-ais/helcom-shipping.md
341	new	11	oceans	Copernicus Marine Service SST Daily Analysis	Global oceans	ERDDAP, OPeNDAP, S3	Daily (1-day lag)	Free account	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/oceans/esa-cmems-sst-daily.md
342	new	11	transit	Rejseplanen — Denmark National Journey Planner	Denmark (national)	REST/JSON (HAFAS-based)	Real-time — departure boards include live delay information	API key required (free registration via labs.rejseplanen.dk)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/rejseplanen-denmark.md
343	new	11	transit	SPTrans — São Paulo Bus Real-Time	Brazil (São Paulo)	REST/JSON (session-based auth)	Real-time — bus positions updated every ~30 s	API key + session authentication (free registration via SPTrans developer portal)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/sptrans-saopaulo.md
344	new	11	air-quality	NASA OMI (Ozone Monitoring Instrument) NRT Air Quality	Global	HTTPS file download (HDF-EOS5)	24–48 hours from satellite overpass (NRT variant)	Earthdata Login (free registration)		explicit	tools/candidates/air-quality/nasa-omi.md
345	new	11	aviation	Drone Remote ID / UTM Data Sources (Investigation Report)	US (FAA), Europe (EASA), Global	Bluetooth 4/5, WiFi Beacon/NAN (broadcast), Network Remote ID (internet)	Real-time (broadcast every 1 second)	Varies by implementation		total	tools/candidates/aviation/drone-remote-id.md
